env,config,seed,episode,steps_in_episode,reward_env,success
Foundational,Shaped DQN,21,21,15,8.500000000000004,False
Foundational,Shaped DQN,21,22,15,-1.499999999999997,False
Foundational,Shaped DQN,21,23,15,8.500000000000004,False
Foundational,Shaped DQN,21,24,15,8.500000000000005,False
Foundational,Shaped DQN,21,25,15,8.500000000000005,False
Foundational,Shaped DQN,21,26,15,8.500000000000005,False
Foundational,Shaped DQN,21,27,15,8.500000000000005,False
Foundational,Shaped DQN,21,28,15,8.500000000000004,False
Foundational,Shaped DQN,21,29,15,8.500000000000005,False
Foundational,Shaped DQN,21,30,15,8.500000000000005,False
Foundational,Shaped DQN,21,31,15,8.500000000000004,False
Foundational,Shaped DQN,21,32,15,8.500000000000005,False
Foundational,Shaped DQN,21,33,15,8.500000000000005,False
Foundational,Shaped DQN,21,34,15,8.500000000000005,False
Foundational,Shaped DQN,21,35,15,8.500000000000005,False
Foundational,Shaped DQN,21,36,15,8.500000000000005,False
Foundational,Shaped DQN,21,37,15,8.500000000000005,False
Foundational,Shaped DQN,21,38,15,8.500000000000005,False
Foundational,Shaped DQN,21,39,15,8.500000000000005,False
Foundational,Shaped DQN,21,40,15,8.500000000000005,False
Foundational,Shaped DQN,21,41,15,8.500000000000005,False
Foundational,Shaped DQN,21,42,15,8.500000000000005,False
Foundational,Shaped DQN,21,43,15,8.500000000000004,False
Foundational,Shaped DQN,21,44,15,8.500000000000004,False
Foundational,Shaped DQN,21,45,15,8.500000000000005,False
Foundational,Shaped DQN,21,46,15,8.500000000000005,False
Foundational,Shaped DQN,21,47,15,8.500000000000005,False
Foundational,Shaped DQN,21,48,15,8.500000000000005,False
Foundational,Shaped DQN,21,49,15,8.500000000000005,False
Foundational,Shaped DQN,21,50,15,8.500000000000005,False
Foundational,Shaped DQN,21,51,15,-1.4999999999999964,False
Foundational,Shaped DQN,21,52,15,8.500000000000005,False
Foundational,Shaped DQN,21,53,15,8.500000000000004,False
Foundational,Shaped DQN,21,54,15,8.500000000000005,False
Foundational,Shaped DQN,21,55,15,8.500000000000005,False
Foundational,Shaped DQN,21,56,15,8.500000000000005,False
Foundational,Shaped DQN,21,57,15,8.500000000000005,False
Foundational,Shaped DQN,21,58,15,8.500000000000005,False
Foundational,Shaped DQN,21,59,15,8.500000000000004,False
Foundational,Shaped DQN,21,60,15,8.500000000000004,False
Foundational,Shaped DQN,21,61,15,8.500000000000005,False
Foundational,Shaped DQN,21,62,15,8.500000000000004,False
Foundational,Shaped DQN,21,63,15,8.500000000000005,False
Foundational,Shaped DQN,21,64,15,8.500000000000005,False
Foundational,Shaped DQN,21,65,15,8.500000000000005,False
Foundational,Shaped DQN,21,66,15,8.500000000000004,False
Foundational,Shaped DQN,21,67,11,18.900000000000002,True
Foundational,Shaped DQN,21,68,15,8.500000000000005,False
Foundational,Shaped DQN,21,69,15,8.500000000000005,False
Foundational,Shaped DQN,21,70,15,8.500000000000005,False
Foundational,Shaped DQN,21,71,15,8.500000000000005,False
Foundational,Shaped DQN,21,72,15,8.500000000000005,False
Foundational,Shaped DQN,21,73,15,8.500000000000004,False
Foundational,Shaped DQN,21,74,15,8.500000000000005,False
Foundational,Shaped DQN,21,75,15,8.500000000000005,False
Foundational,Shaped DQN,21,76,15,8.500000000000004,False
Foundational,Shaped DQN,21,77,15,8.500000000000005,False
Foundational,Shaped DQN,21,78,15,8.500000000000005,False
Foundational,Shaped DQN,21,79,14,18.6,True
Foundational,Shaped DQN,21,80,15,8.500000000000005,False
Foundational,Shaped DQN,21,81,15,8.500000000000005,False
Foundational,Shaped DQN,21,82,6,19.400000000000002,True
Foundational,Shaped DQN,21,83,9,19.1,True
Foundational,Shaped DQN,21,84,6,19.400000000000002,True
Foundational,Shaped DQN,21,85,6,19.400000000000002,True
Foundational,Shaped DQN,21,86,6,19.400000000000002,True
Foundational,Shaped DQN,21,87,15,8.500000000000005,False
Foundational,Shaped DQN,21,88,15,-1.4999999999999964,False
Foundational,Shaped DQN,21,89,15,8.500000000000005,False
Foundational,Shaped DQN,21,90,15,8.500000000000005,False
Foundational,Shaped DQN,21,91,15,8.500000000000005,False
Foundational,Shaped DQN,21,92,15,8.500000000000004,False
Foundational,Shaped DQN,21,93,15,8.500000000000005,False
Foundational,Shaped DQN,21,94,15,-1.5000000000000002,False
Foundational,Shaped DQN,21,95,6,19.400000000000002,True
Foundational,Shaped DQN,21,96,7,19.3,True
Foundational,Shaped DQN,21,97,7,19.3,True
Foundational,Shaped DQN,21,98,6,19.400000000000002,True
Foundational,Shaped DQN,21,99,6,19.400000000000002,True
Foundational,Shaped DQN,21,100,6,19.400000000000002,True
