episode,avg_reward,avg_success,avg_steps,cnt_seeds,smoothed_reward,smoothed_success,smoothed_steps
193,6.530000000000001,0.9,14.7,10,-10.49999999999993,0.9800000000000001,16.0
194,-17.419999999999888,1.0,14.2,10,-8.88499999999994,0.9800000000000001,15.85
195,8.689999999999989,1.0,13.1,10,-7.007999999999946,0.97,16.08
196,-30.40999999999981,1.0,14.1,10,-6.0839999999999375,0.9800000000000001,15.839999999999998
197,-7.519999999999909,1.0,15.2,10,-6.138999999999944,0.96,16.389999999999997
198,4.41999999999999,1.0,15.8,10,-5.784999999999949,0.95,15.85
199,5.280000000000053,0.9,17.2,10,-5.595999999999949,0.95,15.959999999999999
200,-11.599999999999909,1.0,16.0,10,-3.3149999999999613,0.9400000000000001,16.15
201,-10.259999999999987,0.8,22.6,10,-5.211999999999956,0.9199999999999999,17.119999999999997
202,-5.560000000000009,0.9,15.6,10,-2.714999999999974,0.9199999999999999,17.15
203,8.419999999999991,0.9,15.8,10,-2.0579999999999865,0.9199999999999999,17.580000000000002
204,5.389999999999989,0.9,16.1,10,-2.598999999999986,0.9199999999999999,17.990000000000002
205,-10.27999999999996,0.8,22.8,10,-4.28399999999999,0.9200000000000002,17.84
206,-5.439999999999991,1.0,14.4,10,-5.557999999999989,0.9199999999999999,17.580000000000002
207,-0.9500000000000295,1.0,19.5,10,-4.44999999999999,0.9400000000000001,16.5
208,-0.990000000000008,1.0,19.9,10,-3.155999999999988,0.9400000000000001,16.56
209,-11.569999999999991,0.9,15.7,10,-3.8989999999999876,0.9299999999999999,16.990000000000002
210,-24.339999999999897,1.0,13.4,10,-7.174999999999974,0.9299999999999999,17.750000000000004
211,0.8200000000000109,1.0,11.8,10,-7.25399999999996,0.95,17.54
212,7.380000000000001,0.9,16.2,10,-6.324999999999961,0.95,17.25
213,0.990000000000002,0.8,20.1,10,-8.803999999999947,0.9400000000000001,17.04
214,-27.36999999999988,0.9,23.7,10,-8.732999999999947,0.9400000000000001,16.33
215,-11.06999999999981,1.0,20.7,10,-8.361999999999938,0.95,16.62
216,3.84999999999998,1.0,11.5,10,-7.595999999999945,0.95,16.96
