episode,avg_reward,avg_success,avg_steps,cnt_seeds,smoothed_reward,smoothed_success,smoothed_steps
164,18.2,0.9,8.0,10,18.045,0.89,7.55
165,18.240000000000002,0.9,7.6,10,18.147,0.9,7.529999999999999
166,18.259999999999998,0.9,7.4,10,18.148,0.9,7.5200000000000005
167,18.29,0.9,7.1,10,18.255,0.9,7.45
168,18.27,0.9,7.3,10,18.258999999999997,0.9,7.409999999999999
169,18.229999999999997,0.9,7.7,10,18.255000000000003,0.9,7.45
170,18.27,0.9,7.3,10,18.261,0.9,7.389999999999999
171,18.29,0.9,7.1,10,18.262999999999998,0.9,7.37
172,18.259999999999998,0.9,7.4,10,18.154999999999998,0.89,7.45
173,18.240000000000002,0.9,7.6,10,18.046,0.8800000000000001,7.540000000000001
174,18.259999999999998,0.9,7.4,10,18.044999999999998,0.8800000000000001,7.55
175,18.259999999999998,0.9,7.4,10,18.047,0.8800000000000001,7.529999999999999
176,17.18,0.8,8.2,10,18.044999999999998,0.8800000000000001,7.55
177,17.2,0.8,8.0,10,18.038,0.8799999999999999,7.619999999999999
178,18.259999999999998,0.9,7.4,10,18.041,0.8800000000000001,7.590000000000001
179,18.25,0.9,7.5,10,18.038999999999998,0.8800000000000001,7.609999999999999
180,18.25,0.9,7.5,10,18.044,0.8800000000000001,7.5600000000000005
181,18.22,0.9,7.8,10,17.847,0.8800000000000001,7.529999999999999
182,18.29,0.9,7.1,10,17.952,0.8899999999999999,7.4799999999999995
183,18.22,0.9,7.8,10,18.055,0.9,7.45
184,18.31,0.9,6.9,10,18.053,0.9,7.470000000000001
185,16.29000000000001,0.9,7.1,10,18.056,0.9,7.44
186,18.23,0.9,7.7,10,18.058,0.9,7.42
187,18.229999999999997,0.9,7.7,10,18.064,0.9,7.360000000000001
188,18.240000000000002,0.9,7.6,10,18.056,0.9,7.4399999999999995
189,18.279999999999998,0.9,7.2,10,17.853,0.89,7.470000000000001
190,18.27,0.9,7.3,10,17.846,0.89,7.539999999999999
191,18.279999999999998,0.9,7.2,10,18.044,0.89,7.56
192,18.21,0.9,7.9,10,17.835,0.8799999999999999,7.65
193,16.19,0.8,8.1,10,17.728,0.8699999999999999,7.719999999999999
194,18.240000000000002,0.9,7.6,10,17.719,0.8700000000000001,7.81
195,18.27,0.9,7.3,10,17.714999999999996,0.8699999999999999,7.85
196,16.14,0.8,8.6,10,17.712,0.8699999999999999,7.88
197,17.16,0.8,8.4,10,17.64888888888889,0.8666666666666667,7.955555555555555
198,18.15,0.9,8.5,10,17.57875,0.8624999999999999,7.9624999999999995
199,18.24,0.9,7.6,10,17.777142857142856,0.8714285714285713,7.942857142857142
200,18.240000000000002,0.9,7.6,10,17.7,0.8666666666666666,8.0
